Paid work,Personal care,Shopping,Tv an radio,House work,Soports
211,56,29,140,132,19
280,55,21,109,125,32
194,53,29,131,121,21
269,52,24,109,115,21
200,52,26,123,128,22
231,54,24,122,121,27
200,52,26,118,109,37
170,107,22,114,129,12
224,55,32,118,109,26
187,57,16,137,125,28
199,76,19,134,150,13
231,42,28,85,91,20
149,68,28,104,135,38
326,85,25,103,80,10
288,90,13,102,76,27
317,40,16,123,130,25
304,54,17,137,154,16
247,55,23,116,108,33
302,58,14,66,187,14
218,65,28,113,105,22
241,42,24,124,110,17
201,56,20,129,83,21
229,57,25,122,135,23
259,58,15,114,161,12
227,41,18,120,166,32
176,51,25,129,116,42
262,57,23,113,107,34
217,50,14,124,124,9
235,58,29,133,104,19
251,57,22,148,100,18
315,52,20,127,103,23
272,75,12,61,148,5
189,70,9,132,130,5
